transaction_id	amount	is_foreign	is_online	device_type	customer_age	account_age_days	merchant_category	amount_deviation	is_fraud	transaction_day	location_risk_score	merchant_risk_score	customer_segment	num_cards_linked	avg_tx_amount_last_30d	email_domain_type	failed_login_attempts_7d	customer_tenure_level	txn_hour_category
TX0000028	71.8	0	0	mobile	31	346	electronics	0.18	0	5	84.05	73.19	low	1	118.77	corporate	0	regular	late_night
TX0000029	3.81	0	0	mobile	62	747	travel	-16.11	0	3	3.43	75.57	low	2	70.89	unknown	0	regular	night
TX0000030	74.83	0	1	desktop	27	2299	travel	9.69	0	2	50.79	32.46	low	1	75.11	corporate	0	loyal	morning
TX0000031	14.96	1	0	mobile	74	687	travel	-53.45	0	5	45.95	93.97	medium	1	40.64	free	0	regular	night
TX0000032	5.38	0	1	tablet	71	1242	clothing	54.62	0	5	22.17	50.17	low	3	90.7	corporate	1	loyal	night
TX0000033	237.9	0	0	desktop	46	2369	electronics	-23.96	0	0	24.34	87.84	low	0	79.09	free	0	loyal	late_night
TX0000034	269.65	0	0	tablet	29	3026	clothing	-36.25	0	3	58.09	52.98	low	1	103.28	free	0	loyal	morning
TX0000035	132.19	0	1	mobile	73	2300	entertainment	-29.7	0	4	96.87	1.21	low	2	18.1	free	0	loyal	afternoon
TX0000036	29.06	0	0	tablet	57	787	grocery	-33.7	0	5	79.29	9.95	medium	2	35.59	corporate	0	regular	morning
TX0000037	8.22	0	0	mobile	37	2836	grocery	-56.32	0	6	50.01	10.52	low	2	102.1	free	0	loyal	morning
TX0000038	92.22	0	1	mobile	54	1470	grocery	22.05	0	3	57.41	71.77	low	2	76.13	free	0	loyal	late_night
TX0000039	46.41	0	0	mobile	19	3508	entertainment	29.15	0	1	57.41	86.02	low	4	67.95	free	0	loyal	morning
TX0000040	10.41	1	0	mobile	37	2013	entertainment	-65.76	0	2	70.15	52.57	low	2	112.52	free	0	loyal	afternoon
TX0000041	54.68	0	1	mobile	29	2115	entertainment	-13.61	0	6	33.73	85.43	low	1	125.44	free	0	loyal	morning
TX0000042	2.8	0	1	desktop	55	1506	electronics	6.68	0	0	67.61	37.18	medium	3	96.53	free	0	loyal	morning
TX0000043	192.03	0	0	mobile	47	1260	travel	-25.43	0	2	25.43	10.19	low	1	58.26	free	1	loyal	afternoon
TX0000044	23.96	0	0	mobile	64	3003	entertainment	39.97	1	1	80.3	25.9	medium	2	70.05	free	0	loyal	afternoon
TX0000045	86.9	0	1	desktop	35	2477	grocery	77.87	0	0	94.04	11.8	low	2	24.76	corporate	0	loyal	afternoon
TX0000046	29.88	0	0	mobile	67	2003	grocery	23.62	0	3	56.1	88.58	high	3	63.77	free	0	loyal	morning
TX0000047	58.73	0	0	desktop	27	3288	clothing	0.06	0	0	7.15	23.91	medium	0	89.07	free	0	loyal	night
TX0000048	63.3	0	0	desktop	24	1413	travel	-38.29	0	4	71.18	75.07	medium	2	86.49	free	0	loyal	afternoon
TX0000049	16.35	1	1	tablet	59	2042	entertainment	-73.29	0	6	92.75	7.13	low	3	111.97	corporate	0	loyal	afternoon
TX0000050	279.42	0	0	mobile	22	1059	travel	-39.95	0	1	94.42	77.5	high	1	64.86	corporate	0	loyal	afternoon
TX0000051	119.38	0	1	tablet	65	3234	entertainment	36.97	0	5	91.08	8.51	low	5	121.62	free	0	loyal	morning
TX0000052	224.41	1	0	desktop	46	1027	grocery	-49.19	0	4	56.34	94.77	low	3	60.97	free	1	loyal	late_night
TX0000053	180.17	0	0	tablet	68	1526	travel	61.64	0	6	91.81	64.06	high	2	68.44	free	1	loyal	afternoon
TX0000054	72.88	0	1	mobile	52	1657	travel	-19.39	0	1	26.8	67.63	high	3	86.16	unknown	0	loyal	morning
TX0000055	203.95	0	1	desktop	56	2590	entertainment	-56.9	0	3	14.39	68.1	medium	3	45	corporate	1	loyal	night
TX0000056	7.41	0	0	desktop	68	2859	entertainment	11.01	0	6	47.66	27.47	low	2	118.9	free	0	loyal	afternoon
TX0000057	17.45	0	0	mobile	29	112	travel	-43.71	0	3	3.09	44.3	high	4	54.45	free	0	new	morning
TX0000058	3.7	0	1	desktop	27	1430	entertainment	43.06	0	4	7.73	90.53	low	3	47.95	free	0	loyal	late_night
TX0000059	31.48	0	0	desktop	54	2412	travel	-40.79	0	1	60.14	20.69	medium	0	85.83	free	0	loyal	morning
TX0000060	39.37	0	0	desktop	78	688	clothing	-101.56	0	1	70.4	52.77	low	4	9.4	free	0	regular	afternoon
TX0000061	25.32	0	0	mobile	19	2179	travel	-26.29	0	3	13.87	32.29	low	2	33.64	free	1	loyal	afternoon
TX0000062	141.16	0	1	desktop	20	1341	electronics	-79.2	0	2	34.13	76.36	medium	2	110.48	free	1	loyal	morning
TX0000063	35.3	0	1	mobile	31	2902	travel	38.9	0	6	80.78	45.62	low	1	77.95	free	0	loyal	morning
TX0000064	26.38	0	1	desktop	64	1084	clothing	51.98	1	4	20.1	34.27	low	0	83.78	free	2	loyal	morning
TX0000065	62.59	0	0	mobile	37	1367	clothing	-29.06	0	4	89.06	59.3	low	1	20.57	free	0	loyal	night
TX0000066	12.15	0	0	mobile	62	3074	grocery	77.96	1	1	56.16	10.6	low	1	100.51	free	0	loyal	late_night
TX0000067	129.64	0	0	mobile	66	2231	grocery	-42.14	0	5	59.33	56	medium	2	67.07	free	2	loyal	morning
TX0000068	6.2	0	0	desktop	69	2637	electronics	-15.71	0	0	15	78.35	low	0	51.04	free	1	loyal	morning
TX0000069	346.73	0	0	tablet	21	1944	entertainment	-54.21	0	5	6.16	96.3	low	2	42.28	corporate	3	loyal	afternoon
TX0000070	118.36	1	0	mobile	68	1606	entertainment	-83.99	0	3	36.27	84.52	low	1	13.46	corporate	4	loyal	afternoon
TX0000071	17.72	0	0	mobile	43	3254	clothing	18.74	0	5	9.48	61.63	high	3	66.17	free	1	loyal	morning
TX0000072	0.44	0	0	mobile	64	972	clothing	74.84	0	3	9.98	54.06	medium	2	91.9	corporate	0	regular	afternoon
TX0000073	135.19	0	0	desktop	32	723	grocery	-22.58	0	6	94.89	32.87	low	1	87.76	free	1	regular	afternoon
TX0000074	98.17	1	1	mobile	26	261	clothing	0.14	0	5	6.8	47.79	low	2	14.45	corporate	0	regular	morning
TX0000075	104.45	0	0	mobile	20	1174	travel	-62.46	0	2	43.94	61.85	medium	2	83.28	free	1	loyal	morning
TX0000076	118.02	0	0	desktop	19	3286	travel	-28.97	0	0	75.6	12.98	low	2	47.87	free	0	loyal	night
TX0000077	6.15	0	0	mobile	56	3557	electronics	-76.88	0	0	28.46	72.33	low	1	131.51	free	0	loyal	morning
TX0000078	35.51	0	1	mobile	58	1882	travel	74.84	0	0	49.78	24.5	medium	2	122.84	free	1	loyal	morning
TX0000079	9.85	1	0	mobile	71	417	electronics	-60.04	0	2	36	11.53	medium	2	104.29	free	0	regular	morning
TX0000080	159.08	0	0	desktop	47	1980	grocery	-0.08	1	3	71.34	9.8	low	3	92.89	free	1	loyal	afternoon
TX0000081	78.1	0	0	tablet	54	2709	travel	79.17	0	0	60.98	31.97	low	0	114.89	free	1	loyal	afternoon
TX0000082	32.15	0	0	desktop	34	893	electronics	5.71	0	3	30.89	32.04	high	3	69.33	corporate	0	regular	afternoon
TX0000083	5.25	0	1	mobile	20	1279	entertainment	-5.17	0	3	63.17	57.23	low	4	22.56	free	2	loyal	afternoon
TX0000084	29.8	0	0	desktop	26	1677	electronics	16.01	0	2	0.31	45.8	low	3	93.56	free	1	loyal	afternoon
TX0000085	31.47	0	0	mobile	25	1248	travel	-64.03	0	3	67.1	74.99	medium	3	63.91	free	0	loyal	morning
TX0000086	104.63	0	0	desktop	26	838	electronics	-91.1	0	1	78.17	1.92	medium	2	88.64	free	1	regular	afternoon
TX0000087	81.19	0	0	desktop	73	1079	grocery	11.66	0	3	0.69	9.09	low	3	80.98	free	0	loyal	morning
TX0000088	174.58	0	0	tablet	34	2017	clothing	6.08	0	6	66.07	24.79	medium	2	89.86	free	0	loyal	morning
TX0000089	51.13	0	0	mobile	41	3295	entertainment	15.6	0	1	54.98	3.9	high	0	105.51	free	1	loyal	morning
TX0000090	10.19	0	1	desktop	25	3120	grocery	-126.63	0	0	28.29	16.39	high	2	66.32	free	1	loyal	night
TX0000091	99.93	0	1	desktop	70	2932	entertainment	-67.26	0	5	19.8	72.73	medium	2	16.17	free	2	loyal	morning
TX0000092	114.43	0	1	mobile	31	566	entertainment	5.77	0	1	95.74	79.83	medium	1	74.67	free	0	regular	afternoon
TX0000093	65.91	0	0	desktop	71	2636	electronics	-8.38	0	0	48.16	59.26	medium	2	96.31	free	0	loyal	afternoon
TX0000094	117.91	0	0	tablet	33	740	clothing	45.31	0	5	45.79	57.09	medium	2	88.06	free	0	regular	morning
TX0000095	54.47	0	0	tablet	35	1317	electronics	15.06	0	1	84.66	62.69	low	0	44.82	free	1	loyal	morning
TX0000096	59.17	0	0	desktop	66	1568	electronics	59.65	0	6	38.27	80.12	low	4	73.89	free	2	loyal	late_night
TX0000097	44.63	0	0	mobile	41	1524	travel	56.45	0	1	80.57	84.28	low	4	41.26	free	1	loyal	afternoon
TX0000098	2.06	0	1	desktop	56	2316	electronics	30.6	0	0	56.75	33.9	medium	2	88.63	free	2	loyal	morning
TX0000099	9.13	0	0	desktop	69	2366	clothing	-5.63	1	2	21.08	41.64	low	2	102.96	free	0	loyal	afternoon
TX0000100	2.55	1	1	mobile	64	397	grocery	16.3	0	3	35.08	80.87	low	0	115.5	free	0	regular	night
TX0000101	80.94	0	0	mobile	44	441	electronics	21.38	0	1	2.3	21.07	low	2	92.85	corporate	1	regular	morning
TX0000102	30.19	1	0	mobile	45	3123	clothing	59.97	0	4	43.99	94.27	medium	1	89.09	free	1	loyal	afternoon
TX0000103	56.83	0	0	mobile	24	383	electronics	-17.77	1	2	93.66	83.82	low	0	111.72	free	0	regular	night
TX0000104	190.5	0	0	desktop	51	1595	entertainment	21.13	0	6	63.2	44.09	medium	0	46.44	free	0	loyal	afternoon
TX0000105	22.94	0	0	mobile	44	1612	electronics	-69.7	0	5	57.79	51.37	medium	1	102.24	free	0	loyal	night
TX0000106	42.26	0	1	mobile	51	2497	travel	-18.99	0	3	86.97	43.75	low	2	55.04	free	0	loyal	afternoon
TX0000107	112.7	0	1	mobile	56	1368	entertainment	11.46	0	2	12.22	22.9	medium	1	85.47	free	1	loyal	afternoon
TX0000108	20.78	0	0	mobile	36	811	clothing	18.93	1	2	79.64	24	high	2	110.74	free	1	regular	afternoon
TX0000109	6.41	0	0	mobile	23	358	electronics	31.15	0	0	69.76	30.28	low	1	75.65	free	0	regular	night
TX0000110	27.37	0	1	mobile	47	1523	entertainment	-36.01	0	4	52.95	40.83	low	1	21.82	free	2	loyal	morning
TX0000111	14.06	0	1	mobile	45	2950	entertainment	2.74	0	6	38.51	89.38	medium	3	61.57	free	0	loyal	night
TX0000112	212.4	0	0	desktop	29	2859	grocery	-24.95	1	6	3.55	35.86	low	4	42.67	free	1	loyal	afternoon
TX0000113	132.07	0	1	mobile	32	1516	entertainment	92	0	3	61.8	56.25	low	2	85.56	free	0	loyal	morning
TX0000114	80.28	0	0	desktop	62	3541	clothing	-75.32	0	6	56.93	8.85	low	0	51.78	free	0	loyal	late_night
TX0000115	164.12	0	0	mobile	56	767	electronics	106.28	0	6	28.47	38.43	low	6	50.07	free	1	regular	night
TX0000116	130.24	0	0	mobile	56	1301	entertainment	33.77	0	2	27.46	42.77	low	1	44.1	free	1	loyal	night
TX0000117	16.52	0	0	mobile	32	1224	clothing	-134.87	0	0	35.76	50.28	low	1	16.9	free	1	loyal	afternoon
TX0000118	178.47	0	0	mobile	75	2826	grocery	-24.91	0	3	43.34	46.18	high	0	57.82	free	1	loyal	afternoon
TX0000119	62.01	0	0	mobile	53	777	electronics	12.28	0	0	73.81	66.09	low	1	99.7	free	1	regular	afternoon
TX0000120	131.79	0	0	mobile	20	1824	travel	-2.43	0	3	51.23	85.01	low	2	25.35	free	1	loyal	afternoon
TX0000121	181.14	0	1	mobile	18	1332	entertainment	-80.73	1	2	15.02	63.19	low	3	84.83	free	0	loyal	night
TX0000122	30.62	0	1	desktop	24	2225	entertainment	-57.96	0	1	89.14	38.74	medium	1	55	free	2	loyal	night
TX0000123	9.33	0	0	mobile	26	2698	grocery	5.97	0	5	47.92	77.28	low	0	33.12	free	0	loyal	morning
TX0000124	20.69	0	0	desktop	18	172	clothing	-69.49	0	5	89.73	68.45	low	2	49.89	free	2	new	afternoon
TX0000125	44.56	0	0	desktop	22	1005	grocery	41.77	0	4	61.3	69.05	low	4	82.5	free	1	loyal	night
TX0000126	136.31	0	0	desktop	64	100	clothing	-13.32	0	6	56.92	78.68	low	3	92.69	free	0	new	afternoon
TX0000127	157.71	0	0	mobile	53	1982	electronics	29.59	1	5	33.42	11.09	high	1	116.47	free	1	loyal	afternoon
TX0000128	0.56	0	0	desktop	27	2388	entertainment	-55.14	0	1	97.13	36.18	medium	2	49.47	free	1	loyal	night
TX0000129	57.19	0	0	mobile	19	667	travel	-67.77	0	1	98.33	16.82	low	1	98.81	free	0	regular	afternoon
TX0000130	43.22	1	0	mobile	40	496	grocery	51.65	0	2	36.28	77.25	low	4	93.59	unknown	1	regular	late_night
TX0000131	20.09	0	0	mobile	56	2671	travel	-3.27	0	6	78.96	56.67	low	2	119.33	free	1	loyal	morning
TX0000132	10.21	0	1	tablet	46	70	travel	-82.65	0	0	26.99	98.95	medium	4	59.78	free	0	new	afternoon
TX0000133	32.95	0	0	mobile	73	2976	entertainment	-41.68	0	6	61.38	67.86	low	5	75.5	corporate	0	loyal	late_night
TX0000134	229.05	0	0	tablet	36	800	entertainment	9.99	0	4	67.09	7.64	low	3	50.13	free	1	regular	afternoon
TX0000135	31.23	0	0	mobile	55	2433	travel	-73.86	0	1	98.44	28.81	low	3	102.94	free	2	loyal	night
TX0000136	58.52	0	0	tablet	64	1197	electronics	-142.24	0	0	28.82	92.54	low	4	84.23	free	0	loyal	morning
TX0000137	97.13	0	0	tablet	37	1736	travel	-75.37	1	4	70.59	98.14	low	2	73.96	corporate	2	loyal	afternoon
TX0000138	36.16	0	1	tablet	29	308	clothing	38.85	0	2	24.55	22.34	low	2	60.96	free	0	regular	afternoon
TX0000139	285.42	0	0	mobile	28	3572	clothing	-87.14	0	5	3.61	49.4	medium	3	84.15	free	1	loyal	afternoon
TX0000140	262.56	0	1	desktop	52	2732	clothing	47.8	0	4	28.5	37	medium	1	73.87	free	1	loyal	morning
TX0000141	23.2	0	0	tablet	69	3046	clothing	13.75	0	5	78.64	20.97	medium	0	93.66	unknown	1	loyal	afternoon
TX0000142	55.01	1	0	mobile	77	87	grocery	-37.47	0	3	93.69	36.81	medium	3	65.44	free	0	new	night
TX0000143	28.63	0	0	mobile	66	197	electronics	57.58	0	5	2.61	42.82	high	2	59.28	free	0	regular	afternoon
TX0000144	26.82	0	0	desktop	24	1683	grocery	-67.63	0	2	11.21	66.68	medium	0	77.56	free	1	loyal	night
TX0000145	3.01	0	0	mobile	40	3267	grocery	-31.27	0	1	36.98	50.26	low	0	64.37	free	1	loyal	afternoon
TX0000146	75.24	0	1	desktop	72	2450	clothing	-4.09	0	3	45.25	83	low	4	61.08	free	1	loyal	afternoon
TX0000147	55.88	0	0	mobile	67	111	electronics	-23.16	0	0	92.81	94.23	low	2	26.1	free	0	new	night
TX0000148	4.23	0	0	desktop	34	1923	electronics	2.36	0	1	2.08	38.27	low	2	41.18	free	0	loyal	morning
TX0000149	26.13	0	1	mobile	65	163	travel	28.52	0	3	84.9	50.11	medium	2	25.94	free	0	new	morning
TX0000150	191.11	0	0	mobile	74	2441	grocery	-31.2	0	5	51.45	72.72	low	4	62.15	free	1	loyal	afternoon
TX0000151	21.91	0	0	mobile	19	1538	electronics	73.87	0	5	21.47	82.62	low	0	109.04	free	0	loyal	morning
TX0000152	12.52	0	0	desktop	22	1099	entertainment	-47.09	0	2	19.61	22.05	low	0	33.39	free	0	loyal	morning
TX0000153	53.78	0	0	mobile	79	291	grocery	-14.52	0	3	5	65.8	medium	2	42.79	free	1	regular	afternoon
TX0000154	339.52	0	0	desktop	38	2546	electronics	21.31	0	6	24.62	81.91	low	1	70.24	free	0	loyal	afternoon
TX0000155	22.17	0	0	desktop	30	3323	entertainment	-9.95	0	3	97.46	74.02	medium	0	127.03	free	1	loyal	late_night
TX0000156	89.21	0	0	mobile	78	2169	entertainment	-72.41	0	5	79.8	69.79	low	4	112.21	free	0	loyal	afternoon
TX0000157	114.71	0	0	mobile	28	1969	entertainment	-2.4	0	5	96.24	94.42	high	1	14.12	free	1	loyal	night
TX0000158	21.71	1	0	mobile	41	48	clothing	-49.31	0	1	15.52	74.56	high	1	76.42	corporate	0	new	night
TX0000159	104.22	0	0	mobile	50	2347	travel	85.4	0	5	54.92	48.91	low	3	12.84	free	0	loyal	night
TX0000160	36.68	0	0	mobile	44	606	travel	70.82	0	3	93.21	86.94	medium	1	73.68	free	1	regular	afternoon
TX0000161	80.04	0	1	desktop	72	2065	electronics	5.13	0	4	66.01	43.7	medium	0	123.41	free	1	loyal	night
TX0000162	80.31	0	0	tablet	52	2941	electronics	-15.52	0	5	2	79.71	low	1	41.68	free	1	loyal	morning
TX0000163	61.39	0	1	mobile	35	698	travel	52.98	0	1	6.97	62.47	high	0	81.9	free	0	regular	afternoon
TX0000164	7.57	1	0	desktop	38	2492	entertainment	59.02	0	4	42.19	60.56	medium	2	86.25	free	0	loyal	night
TX0000165	144.29	0	0	tablet	21	1718	electronics	23.1	0	3	38.43	73.87	medium	1	82.12	free	0	loyal	afternoon
TX0000166	30.94	0	0	desktop	78	1300	clothing	69.4	0	5	88.97	69.94	low	4	139.07	corporate	0	loyal	afternoon
TX0000167	16.51	0	1	desktop	58	1764	clothing	17.64	0	6	78.03	53.37	low	2	100.38	free	1	loyal	afternoon
TX0000168	3.33	0	0	desktop	49	1355	travel	6.51	0	4	13.22	88.55	low	0	124.2	free	0	loyal	night
TX0000169	71.5	0	1	mobile	60	2093	electronics	13.57	0	6	8.95	72.17	medium	3	82.83	corporate	0	loyal	morning
TX0000170	90.55	0	1	desktop	66	649	electronics	-29.77	0	2	86.69	58.06	low	5	59.49	free	1	regular	afternoon
TX0000171	1.34	0	0	tablet	28	2580	entertainment	38.45	0	5	44.98	70.39	high	4	74.02	free	0	loyal	morning
TX0000172	57.41	0	0	mobile	20	3496	electronics	-11.76	0	2	16.93	34.39	low	4	96.11	free	1	loyal	morning
TX0000173	20.55	0	0	mobile	68	1929	travel	14.52	0	3	89.86	99.95	high	2	61.94	free	1	loyal	afternoon
TX0000174	82.89	0	0	mobile	69	2773	electronics	-15.32	0	4	72.04	46.93	low	2	70.11	free	0	loyal	afternoon
TX0000175	15.33	0	0	mobile	72	1031	electronics	21.85	0	3	16.39	47.49	medium	1	43.5	free	0	loyal	morning
TX0000176	93.94	0	1	mobile	38	2261	clothing	11.32	0	2	60.63	39.09	low	3	102.01	corporate	1	loyal	morning
TX0000177	39.12	0	0	desktop	60	470	travel	48.93	0	4	46.93	32.15	medium	3	53.64	free	1	regular	afternoon
TX0000178	220.83	0	0	desktop	75	610	grocery	-28.82	0	2	25.63	96.33	low	3	75.82	free	1	regular	afternoon
TX0000179	11.84	0	0	mobile	31	3351	travel	-30.72	1	4	59.11	96.98	high	1	40.56	free	0	loyal	afternoon
TX0000180	33.37	0	1	mobile	23	405	travel	34.14	0	5	44.02	94.79	low	4	84.81	unknown	0	regular	afternoon
TX0000181	9.64	0	0	desktop	68	2015	grocery	83.85	0	1	56.17	32.28	high	0	148.67	free	1	loyal	afternoon
TX0000182	206.9	0	1	mobile	70	1511	grocery	-14.48	0	3	29.3	61.92	low	3	139.8	free	1	loyal	late_night
TX0000183	167.87	0	1	mobile	46	3189	clothing	30.24	0	6	72.52	18.45	medium	1	59.23	corporate	0	loyal	afternoon
TX0000184	23.87	0	0	desktop	48	2423	entertainment	-44.39	0	6	42.66	72.16	low	1	98.33	free	1	loyal	afternoon
TX0000185	86.3	0	0	mobile	64	1837	travel	-24.59	0	5	81.31	27.24	low	4	50.7	free	0	loyal	afternoon
TX0000186	135.96	0	0	mobile	45	758	travel	1.97	0	5	60.81	68.62	low	0	76.95	free	0	regular	night
TX0000187	64.81	0	0	mobile	60	1923	travel	15.16	0	4	24.35	71.66	medium	2	31.66	free	0	loyal	morning
TX0000188	60.34	0	1	desktop	67	2467	travel	11.7	0	5	34.08	99.66	medium	2	72.21	free	1	loyal	afternoon
TX0000189	22.15	0	0	desktop	53	209	clothing	-12.23	0	5	28.66	78.6	low	0	47.98	free	0	regular	afternoon
TX0000190	7.82	0	0	mobile	45	2714	travel	-72.81	0	4	35.93	57.74	high	3	41.72	free	1	loyal	afternoon
TX0000191	182.01	0	0	mobile	36	2453	grocery	-64.55	0	1	17.15	49.06	low	2	107.84	free	2	loyal	afternoon
TX0000192	184.54	0	0	desktop	20	2260	grocery	65.19	0	0	47.56	5.64	medium	1	78.3	free	1	loyal	late_night
TX0000193	80.21	0	0	desktop	29	2921	electronics	-20.51	0	1	4.91	94.51	low	0	48.18	free	1	loyal	afternoon
TX0000194	33.12	0	0	desktop	53	2406	clothing	-1.93	0	4	34.8	18.31	low	1	53.28	free	0	loyal	afternoon
TX0000195	34.37	1	1	desktop	41	1998	electronics	9.28	0	5	42.69	4.11	medium	1	39.21	free	0	loyal	afternoon
TX0000196	103.56	0	0	desktop	29	2567	travel	115.66	0	5	76.4	34.96	low	2	78.39	free	1	loyal	late_night
TX0000197	181.93	0	0	desktop	41	2277	clothing	-13.5	0	6	86.24	22.97	low	5	120.14	free	0	loyal	late_night
TX0000198	174.49	0	1	desktop	18	2773	clothing	49.99	0	0	77.29	48.49	low	3	91.75	free	1	loyal	night
TX0000199	121.08	0	1	desktop	45	2556	entertainment	-49.05	0	5	8.19	92.42	low	2	66.66	free	1	loyal	night
TX0000200	82.18	0	0	tablet	33	2886	entertainment	-25.67	0	2	66.19	95.62	low	2	60.51	free	1	loyal	afternoon
TX0000201	7.03	0	0	mobile	38	1789	electronics	23.92	0	3	85.23	28.6	low	2	91.16	free	0	loyal	morning
TX0000202	14.1	0	0	tablet	47	1508	electronics	30.99	0	6	52.89	90.95	low	2	80.86	free	0	loyal	night
TX0000203	183.06	0	0	desktop	51	1021	grocery	19.32	0	0	93.55	90.11	medium	3	54.44	free	0	loyal	night
TX0000204	74.6	0	1	desktop	43	3094	grocery	1.81	1	2	88.36	43.87	medium	2	80.48	free	1	loyal	night
TX0000205	0.74	0	0	mobile	71	1927	grocery	-3.98	0	5	87.81	54.22	low	3	83.42	free	0	loyal	afternoon
TX0000206	8.56	0	1	desktop	52	1493	clothing	63.3	0	6	96.41	4.91	medium	0	91.69	unknown	0	loyal	morning
TX0000207	87.13	0	0	desktop	48	1942	travel	74.72	0	4	76.54	2.08	low	3	32.06	free	0	loyal	afternoon
TX0000208	0.41	0	0	mobile	77	2576	electronics	-5.28	0	0	68.59	15.41	high	2	72.81	free	0	loyal	morning
TX0000209	14.03	0	0	desktop	33	2012	grocery	-2.38	0	1	75.28	52.32	low	2	44.68	free	0	loyal	afternoon
TX0000210	63.66	1	0	desktop	75	2707	clothing	-13.98	0	5	35.8	47.16	low	1	106.97	free	1	loyal	morning
TX0000211	94.19	0	0	mobile	59	1209	entertainment	-24.71	0	3	0.83	1.26	medium	1	124.74	free	0	loyal	night
TX0000212	84.44	0	0	mobile	46	1512	travel	38.33	0	5	4.39	11.14	low	0	74.52	corporate	2	loyal	night
TX0000213	20.32	0	0	desktop	46	1724	entertainment	-8.6	0	6	85.27	41.94	low	2	133.09	corporate	1	loyal	night
TX0000214	99.63	1	1	desktop	26	2260	entertainment	10.73	0	1	41	80.69	medium	2	109.97	free	1	loyal	afternoon
TX0000215	21.67	0	0	mobile	31	465	travel	20.44	0	1	36.24	54.11	medium	3	35.98	corporate	0	regular	night
